What is the title of Star Lord’s Mixtape?,Awesome Mix Volume 1,blueswede
The Guardians first met in The ____,Kyln,raspberries
Star Lord is part _________,Celestial,normangreenbaum
Star Lord’s ship is called The ______,Milano,davidbowie
Star Lord uses the _____ Stone to defeat Ronan,Power,elvinbishop
On what planet did Star Lord find one of the Infinity Stones?,Morag,10cc
What is Rocket’s official identification code?,89P13,thejackson5
What is Star Lord’s middle name?,Jason,redbone
Star Lord payed _____ units for a prosthetic leg,30000,therunaways
Who becomes the leader of the Ravagers after Yondu’s death?,Taserface,rupertholmes
What is The Collector’s full name?,Taneleer Tivan,fivestairsteps
Knowhere houses the mining colony ______,Exitar,marvingaye
Where are the Guardians of the Galaxy based? (in the comics),Knowhere,electriclightorchestra
What is Star Lord’s mother’s full name?,Meredith Quill,sweet
Where do the Guardians first meet Ego?,Berhert,aliottajeremiah
Who is the leader of The Sovereign?,Ayesha,fleetwoodmac
_______ is the only member of Yondu’s Ravager faction to survive the events of Guardians of the Galaxy Vol.2,Kraglin,samcooke
What does “Groot” mean in Dutch?,Large,glencampbell
What species is Nebula a member of?,Luphomoid,georgeharrison
What is Drax's full name? (in the comics),Arthur Douglas,lookingglass
What year do the Guardians defeat Ronan?,2014,jayandtheamericans
What troops does Ronan command?,Sakaarans,silver
What is Ronan’s ship called?,Dark Aster,cheaptrick
What was the name of the Collector’s assistant who exploded?,Carina,catstevens
What gun does Rocket make for when “things get hardcore”?,Hadron Enforcer,parliament
What is the name of the current Nova Prime?,Irani Rael,thesneepers
What is Yondu’s last name?,Udonta,davidhasselhoff
What is Star-Lord’s best nickname for Yondu?,Mary Poppins,tammiterrell